model,term,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,concordance,partial_AIC
cox_baseline_3vars,anchor_age,0.03917060599304003,1.0399478898589056,1.0373042783985493,1.0425982386688506,7.317519688105261e-200,0.6932976714906155,98365.90765650634
cox_baseline_3vars,gender_male,0.0010518015145425308,1.0010523548517387,0.9456233290077333,1.0597304300918067,0.9711307099282932,0.6932976714906155,98365.90765650634
cox_baseline_3vars,cci_without_hf,0.20398711424001842,1.226282351774348,1.2136717347225316,1.2390239990362928,0.0,0.6932976714906155,98365.90765650634
cox_demographics,anchor_age,0.03280046114604776,1.0333443263256321,1.0304902122836201,1.0362063453112016,1.655450402671451e-119,0.7291444319031632,97595.15095935744
cox_demographics,gender_male,-0.009557715469069299,0.9904878143243628,0.9346632260512775,1.0496466352590086,0.7467587811347537,0.7291444319031632,97595.15095935744
cox_demographics,cci_without_hf,0.18760256485358104,1.2063539725946137,1.1938644123264988,1.218974191850534,1.959704036460927e-273,0.7291444319031632,97595.15095935744
cox_demographics,admission_type_DIRECT EMER.,0.12820806723027106,1.1367895067359046,0.9395152103370007,1.3754863874543566,0.18737499877755304,0.7291444319031632,97595.15095935744
cox_demographics,admission_type_DIRECT OBSERVATION,-1.0061608950888137,0.3656199419448078,0.2672279045943634,0.5002394572177633,3.1635105885646376e-10,0.7291444319031632,97595.15095935744
cox_demographics,admission_type_ELECTIVE,-0.7374557951278367,0.4783293365539206,0.35393624478977065,0.646441153106585,1.5943049361253956e-06,0.7291444319031632,97595.15095935744
cox_demographics,admission_type_EU OBSERVATION,-0.635869818923883,0.5294747408138912,0.4210588772168928,0.665805939095612,5.34002805220176e-08,0.7291444319031632,97595.15095935744
cox_demographics,admission_type_EW EMER.,0.3650634327456261,1.4406053868060358,1.2661851833742406,1.6390524133002495,2.9523177244008086e-08,0.7291444319031632,97595.15095935744
cox_demographics,admission_type_OBSERVATION ADMIT,0.08113013655321163,1.0845120220402347,0.9466257701406561,1.2424828935039829,0.24225645157278172,0.7291444319031632,97595.15095935744
