variable,n_groups,test_statistic,p
gender,2,0.46629697220111627,0.49469568533348385
age_group,3,839.84224401399,4.271435745615196e-183
cci_group,3,1220.0676121232862,1.1632799773811171e-265
admission_type,9,677.905957603156,4.080452062337209e-141
insurance,6,288.8018615155746,2.5567888057878184e-60
race_simple,6,507.6952439440104,1.7424716307708663e-107
