term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),abs_log_hr
race_simple_HISPANIC/LATINO,-1.6786498227254283,0.1866257839008026,0.06734771855488046,-1.810648925533934,-1.5466507199169226,0.1635479719048809,0.21296004353294964,0.0,-24.92511786212218,3.975445912047461e-137,453.1130323079719,1.6786498227254283
race_simple_OTHER,1.5875430140062172,4.891715275204993,0.0549474534027033,1.4798479842947259,1.6952380437177086,4.392277934938065,5.447942659396229,0.0,28.892021662429098,1.5039017625289645e-183,607.3241310336358,1.5875430140062172
last_careunit_Medicine/Cardiology Intermediate,-1.4456177648089865,0.23560048590093244,3.1622776601673936,-7.64356808785267,4.752332558234698,0.0004791158710360852,115.85420628358783,0.0,-0.4571444762799429,0.6475672039226286,0.6268981727680276,1.4456177648089865
first_careunit_Medicine/Cardiology Intermediate,-1.4456177648089863,0.2356004859009325,3.1622776601673936,-7.64356808785267,4.752332558234698,0.0004791158710360853,115.85420628358786,0.0,-0.45714447627994287,0.6475672039226286,0.6268981727680276,1.4456177648089863
admission_type_DIRECT EMER.,-1.230715098120082,0.2920836345243789,0.06923431684855132,-1.3664118656374773,-1.0950183306026868,0.2550203672008244,0.33453347469219374,0.0,-17.776084955272207,1.0828245666979199e-70,232.42016711778084,1.230715098120082
first_careunit_Neuro Surgical Intensive Care Unit (Neuro SICU),1.2220193897752645,3.3940346969145545,0.08777179997930411,1.049989822957575,1.394048956592954,2.8576220357744853,4.031138960873045,0.0,13.922688039477451,4.61225971794295e-44,143.9593624211092,1.2220193897752645
last_careunit_Neuro Surgical Intensive Care Unit (Neuro SICU),1.2220193897752645,3.3940346969145545,0.08777179997930412,1.049989822957575,1.394048956592954,2.8576220357744853,4.031138960873045,0.0,13.922688039477448,4.61225971794315e-44,143.95936242110915,1.2220193897752645
insurance_Other,-0.9895947664247338,0.3717272968862496,0.07677982007552148,-1.1400804485122213,-0.8391090843372463,0.31979329388671945,0.432095312478022,0.0,-12.888735157901614,5.209113875219123e-38,123.85222962986782,0.9895947664247338
last_careunit_Surgery/Trauma,0.9477066403092486,2.579786491584317,1.291026188076508,-1.5826581914187412,3.478071472037238,0.20542830403012222,32.39718291781762,0.0,0.7340723596949114,0.462904638358994,1.1112130762109125,0.9477066403092486
first_careunit_Surgery/Trauma,0.9477066403092481,2.5797864915843163,1.291026188076508,-1.5826581914187416,3.4780714720372377,0.20542830403012213,32.39718291781761,0.0,0.734072359694911,0.4629046383589941,1.111213076210912,0.9477066403092481
last_careunit_PACU,0.945315114815508,2.573624237951646,0.42635752532624627,0.10966972063844138,1.7809605089925746,1.1159094477280291,5.935554835258002,0.0,2.2171887645049972,0.026610195041615273,5.231877105023765,0.945315114815508
first_careunit_PACU,0.945315114815508,2.573624237951646,0.4263575253262463,0.10966972063844127,1.7809605089925746,1.1159094477280291,5.935554835258004,0.0,2.217188764504997,0.026610195041615308,5.231877105023763,0.945315114815508
first_careunit_Neuro Stepdown,-0.8776199621726635,0.4157712864195877,0.09606884972273592,-1.0659114476654166,-0.6893284766799103,0.3444137965143608,0.5019130022098025,0.0,-9.135322892962291,6.521187824252593e-20,63.733427124689946,0.8776199621726635
last_careunit_Neuro Stepdown,-0.877619962172662,0.4157712864195883,0.09606884972273595,-1.0659114476654152,-0.6893284766799088,0.34441379651436127,0.5019130022098032,0.0,-9.135322892962273,6.521187824253684e-20,63.733427124689705,0.877619962172662
icu_los_group_<24h,-0.7775472482754205,0.45953174745127867,0.03010875046946861,-0.8365593148150825,-0.7185351817357586,0.43319846172695403,0.48746578202008095,0.0,-25.824626932422262,4.6913330723862604e-147,486.09343201639507,0.7775472482754205
first_careunit_Surgery/Vascular/Intermediate,0.7448943714981412,2.1062189464784673,0.32436576351765023,0.1091491571857105,1.380639585810572,1.1153286972248433,3.9774447313539922,0.0,2.296464224275655,0.021649352454386983,5.52953231608443,0.7448943714981412
last_careunit_Surgery/Vascular/Intermediate,0.7448943714981411,2.106218946478467,0.3243657635176502,0.1091491571857105,1.3806395858105716,1.115328697224843,3.977444731353991,0.0,2.296464224275655,0.021649352454386983,5.52953231608443,0.7448943714981411
first_careunit_Med/Surg,-0.7117260947195644,0.4907963049896997,3.162277640583465,-6.909676379379453,5.486224189940325,0.0009980807437349418,241.34421438704024,0.0,-0.22506755434296571,0.8219267213299395,0.28291831836048265,0.7117260947195644
last_careunit_Med/Surg,-0.7117260947195636,0.4907963049897001,3.162277640583465,-6.9096763793794524,5.486224189940326,0.0009980807437349427,241.34421438704044,0.0,-0.22506755434296546,0.8219267213299396,0.2829183183604825,0.7117260947195636
temperature_std_24h,-0.7049535725947325,0.4941315149676996,0.012368604209663094,-0.7291955913847026,-0.6807115538047623,0.4822967977906362,0.5062566353390257,0.0,-56.99540228185008,0.0,inf,0.7049535725947325
