model,feature,importance_mean,importance_std
coxnet,chloride_std_24h,0.0,0.0
coxnet,creatinine_std_24h,0.0,0.0
coxnet,hemoglobin_std_24h,0.0,0.0
coxnet,lactate_std_24h,0.0,0.0
coxnet,pco2_std_24h,0.0,0.0
coxnet,ph_std_24h,0.0,0.0
coxnet,platelet_std_24h,0.0,0.0
coxnet,po2_std_24h,0.0,0.0
coxnet,potassium_std_24h,0.0,0.0
coxnet,sodium_std_24h,0.0,0.0
coxnet,wbc_std_24h,0.0,0.0
coxnet,bicarbonate_count_24h,0.0,0.0
coxnet,bun_count_24h,0.0,0.0
coxnet,chloride_count_24h,0.0,0.0
coxnet,creatinine_count_24h,0.0,0.0
coxnet,hemoglobin_count_24h,0.0,0.0
coxnet,lactate_count_24h,0.0,0.0
coxnet,pco2_count_24h,0.0,0.0
coxnet,ph_count_24h,0.0,0.0
coxnet,platelet_count_24h,0.0,0.0
coxnet,po2_count_24h,0.0,0.0
coxnet,potassium_count_24h,0.0,0.0
coxnet,sodium_count_24h,0.0,0.0
coxnet,wbc_count_24h,0.0,0.0
coxnet,bicarbonate_slope_24h,0.0,0.0
coxnet,bun_slope_24h,0.0,0.0
coxnet,chloride_slope_24h,0.0,0.0
coxnet,creatinine_slope_24h,0.0,0.0
coxnet,hemoglobin_slope_24h,0.0,0.0
coxnet,lactate_slope_24h,0.0,0.0
coxnet,ph_slope_24h,0.0,0.0
coxnet,potassium_slope_24h,0.0,0.0
coxnet,sodium_slope_24h,0.0,0.0
coxnet,wbc_slope_24h,0.0,0.0
coxnet,icu_los_hours_missing,0.0,0.0
coxnet,icu_los_days_missing,0.0,0.0
coxnet,dbp_first_24h_missing,0.0,0.0
coxnet,glucose_first_24h_missing,0.0,0.0
coxnet,heart_rate_first_24h_missing,0.0,0.0
coxnet,mbp_first_24h_missing,0.0,0.0
coxnet,resp_rate_first_24h_missing,0.0,0.0
coxnet,sbp_first_24h_missing,0.0,0.0
coxnet,spo2_first_24h_missing,0.0,0.0
coxnet,temperature_first_24h_missing,0.0,0.0
coxnet,dbp_last_24h_missing,0.0,0.0
coxnet,glucose_last_24h_missing,0.0,0.0
coxnet,heart_rate_last_24h_missing,0.0,0.0
coxnet,mbp_last_24h_missing,0.0,0.0
coxnet,resp_rate_last_24h_missing,0.0,0.0
coxnet,sbp_last_24h_missing,0.0,0.0
coxnet,spo2_last_24h_missing,0.0,0.0
coxnet,temperature_last_24h_missing,0.0,0.0
coxnet,dbp_min_24h_missing,0.0,0.0
coxnet,glucose_min_24h_missing,0.0,0.0
coxnet,heart_rate_min_24h_missing,0.0,0.0
coxnet,mbp_min_24h_missing,0.0,0.0
coxnet,resp_rate_min_24h_missing,0.0,0.0
coxnet,sbp_min_24h_missing,0.0,0.0
coxnet,spo2_min_24h_missing,0.0,0.0
coxnet,temperature_min_24h_missing,0.0,0.0
coxnet,dbp_max_24h_missing,0.0,0.0
coxnet,glucose_max_24h_missing,0.0,0.0
coxnet,heart_rate_max_24h_missing,0.0,0.0
coxnet,mbp_max_24h_missing,0.0,0.0
coxnet,resp_rate_max_24h_missing,0.0,0.0
coxnet,sbp_max_24h_missing,0.0,0.0
coxnet,spo2_max_24h_missing,0.0,0.0
coxnet,temperature_max_24h_missing,0.0,0.0
coxnet,dbp_mean_24h_missing,0.0,0.0
coxnet,glucose_mean_24h_missing,0.0,0.0
coxnet,heart_rate_mean_24h_missing,0.0,0.0
coxnet,mbp_mean_24h_missing,0.0,0.0
coxnet,resp_rate_mean_24h_missing,0.0,0.0
coxnet,sbp_mean_24h_missing,0.0,0.0
coxnet,spo2_mean_24h_missing,0.0,0.0
coxnet,temperature_mean_24h_missing,0.0,0.0
coxnet,dbp_std_24h_missing,0.0,0.0
coxnet,glucose_std_24h_missing,0.0,0.0
coxnet,heart_rate_std_24h_missing,0.0,0.0
coxnet,mbp_std_24h_missing,0.0,0.0
coxnet,resp_rate_std_24h_missing,0.0,0.0
coxnet,sbp_std_24h_missing,0.0,0.0
coxnet,spo2_std_24h_missing,0.0,0.0
coxnet,temperature_std_24h_missing,0.0,0.0
coxnet,dbp_count_24h_missing,0.0,0.0
coxnet,glucose_count_24h_missing,0.0,0.0
coxnet,heart_rate_count_24h_missing,0.0,0.0
coxnet,mbp_count_24h_missing,0.0,0.0
coxnet,resp_rate_count_24h_missing,0.0,0.0
coxnet,sbp_count_24h_missing,0.0,0.0
coxnet,spo2_count_24h_missing,0.0,0.0
coxnet,temperature_count_24h_missing,0.0,0.0
coxnet,dbp_slope_24h_missing,0.0,0.0
coxnet,glucose_slope_24h_missing,0.0,0.0
coxnet,heart_rate_slope_24h_missing,0.0,0.0
coxnet,mbp_slope_24h_missing,0.0,0.0
coxnet,resp_rate_slope_24h_missing,0.0,0.0
coxnet,sbp_slope_24h_missing,0.0,0.0
coxnet,spo2_slope_24h_missing,0.0,0.0
coxnet,temperature_slope_24h_missing,0.0,0.0
coxnet,bicarbonate_first_24h_missing,0.0,0.0
coxnet,bun_first_24h_missing,0.0,0.0
coxnet,chloride_first_24h_missing,0.0,0.0
coxnet,creatinine_first_24h_missing,0.0,0.0
coxnet,hemoglobin_first_24h_missing,0.0,0.0
coxnet,lactate_first_24h_missing,0.0,0.0
