model,feature,importance_mean,importance_std
random_survival_forest,anchor_age,0.023051591657519244,0.0012972757209859243
random_survival_forest,lactate_last_24h,0.007159964075441616,0.0010727472308152963
random_survival_forest,bun_mean_24h,0.006636064265043484,0.004091408043109479
random_survival_forest,spo2_last_24h,0.006336692944815925,0.00032431893024648106
random_survival_forest,platelet_min_24h,0.004253567508232747,0.0005613212254265698
random_survival_forest,ph_last_24h,0.00422861989821377,0.0031808202774173955
random_survival_forest,bicarbonate_mean_24h,0.0038045105278914915,0.0007609021055782761
random_survival_forest,wbc_min_24h,0.003255663107474327,0.0020332302165452787
random_survival_forest,po2_slope_24h,0.002993713202275261,0.0020706516315737167
random_survival_forest,resp_rate_mean_24h,0.002956291787246823,1.2473805009516337e-05
random_survival_forest,spo2_std_24h,0.002931344177227846,1.2473805009460825e-05
random_survival_forest,ph_max_24h,0.002918870372218385,0.001821175531384056
random_survival_forest,chloride_first_24h,0.002644446662009803,0.0003492665402654582
random_survival_forest,creatinine_last_24h,0.002582077636962443,0.0022577587067159066
random_survival_forest,hemoglobin_max_24h,0.002582077636962443,0.0014843827961281142
random_survival_forest,ph_mean_24h,0.002582077636962443,0.0019084921664504484
random_survival_forest,bun_first_24h,0.0024698133918770737,0.0029188703722183296
random_survival_forest,hemoglobin_last_24h,0.002220337291687524,0.0005238998103981873
random_survival_forest,chloride_min_24h,0.0021205468516116155,0.0008232711306256912
random_survival_forest,sbp_last_24h,0.0018087017263747063,0.0002868975152180431
random_survival_forest,wbc_last_24h,0.0017463327013272356,0.00032431893024648106
random_survival_forest,heart_rate_slope_24h,0.0016714898712703596,0.00027442371020852674
random_survival_forest,icu_los_days,0.0016091208462229445,0.0024074443668296586
random_survival_forest,last_careunit_Medical/Surgical Intensive Care Unit (MICU/SICU),0.0015841732362040228,3.742141502843799e-05
random_survival_forest,spo2_slope_24h,0.0014469613810997317,0.00019958088015165076
random_survival_forest,lactate_min_24h,0.0014220137710807546,0.0006486378604929621
random_survival_forest,heart_rate_last_24h,0.001347170941023934,0.0001746332701327291
random_survival_forest,dbp_last_24h,0.0013222233310049014,0.0005987426404550633
random_survival_forest,spo2_mean_24h,0.0013222233310049014,0.0002494761001896051
