risk_decile,n,mean_predicted_90d_risk,observed_90d_risk_km
0,750,0.00732671526101,0.0013333333333335196
1,750,0.026334201342946065,0.01333333333333342
2,750,0.052155351918506794,0.018666666666666165
3,750,0.08456439001658786,0.06133333333333346
4,750,0.12042084990907817,0.0933333333333336
5,750,0.16290272972065561,0.1399999999999999
6,750,0.2128056205923245,0.20666666666666633
7,750,0.27155335546582454,0.24933333333333307
8,750,0.3547970485177994,0.3506666666666667
9,750,0.5640265360075591,0.6573333333333332
