test_statistic,p,-log2(p),comparison
473.2987654010819,6.1367513874657415e-105,346.1849748250839,age_group: <65 vs >=65
658.3198894926142,3.4651073343366664e-145,479.8866737170361,cci_group: <3 vs >=3
0.46629697220111654,0.49469568533348374,1.0153867783201402,gender: F vs M
