model,term,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
univariable,anchor_age,0.036625359847375714,1.0373043321801885,1.0347783046884533,1.0398365260312878,1.5891233218590754e-190
univariable,gender_male,-0.01955472182836878,0.9806352315675596,0.9271509186141874,1.0372048801169638,0.4943698089561992
univariable,cci_without_hf,0.19748374057836351,1.2183332554145003,1.2059505981099814,1.2308430573982139,0.0
multivariable,anchor_age,0.03917060599304003,1.0399478898589056,1.0373042783985493,1.0425982386688506,7.317519688105261e-200
multivariable,gender_male,0.0010518015145425308,1.0010523548517387,0.9456233290077333,1.0597304300918067,0.9711307099282932
multivariable,cci_without_hf,0.20398711424001842,1.226282351774348,1.2136717347225316,1.2390239990362928,0.0
